numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
234,En la prevención de la infección hospitalaria se llaman precauciones universales,Las medidas consensuadas científicamente en la mayoría de los países.,Las medidas que deben aplicarse en todas las enfermedades.,"Las medidas que deben adoptarse en todos los usuarios, estén enfermos o no.",Todas las respuestas anteriores son correctas. Respuesta Correcta: C,C,"Las medidas que deben adoptarse en todos los usuarios, estén enfermos o no.","234. En la prevención de la infección hospitalaria se llaman precauciones universales:
A) Las medidas consensuadas científicamente en la mayoría de los países.
B) Las medidas que deben aplicarse en todas las enfermedades.
C) Las medidas que deben adoptarse en todos los usuarios, estén enfermos o no.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: C"
235,"Respecto a las precauciones a adoptar en los aislamientos para prevenir la transmisión por gotas de enfermedades infecciosas, señale cuál de ellas NO se considera correcta",Ponerse una mascarilla al entrar a la habitación del paciente.,No es necesaria de forma rutinaria la protección para los ojos.,Se debe limitar el traslado del paciente fuera de la habitación a fines clínicamente necesarios.,Las habitaciones serán siempre y en todas las circunstancias individuales. Respuesta Correcta: D,D,Las habitaciones serán siempre y en todas las circunstancias individuales. Respuesta Correcta: D,"235. Respecto a las precauciones a adoptar en los aislamientos para prevenir la transmisión por gotas de
enfermedades infecciosas, señale cuál de ellas NO se considera correcta:
A) Ponerse una mascarilla al entrar a la habitación del paciente.
B) No es necesaria de forma rutinaria la protección para los ojos.
C) Se debe limitar el traslado del paciente fuera de la habitación a fines clínicamente necesarios.
D) Las habitaciones serán siempre y en todas las circunstancias individuales.
Respuesta Correcta: D"
236,¿Dónde se deben aplicar las precauciones estándar?,En los lugares más vulnerables de contraer una infección.,Solamente en los quirófanos.,En todos los puntos de atención.,"Únicamente en la zona de urgencias, ya sea en atención primaria como en atención especializada, ya que es lugar de más tránsito de pacientes y usuarios. Respuesta Correcta: C",C,En todos los puntos de atención.,"236. ¿Dónde se deben aplicar las precauciones estándar?
A) En los lugares más vulnerables de contraer una infección.
B) Solamente en los quirófanos.
C) En todos los puntos de atención.
D) Únicamente en la zona de urgencias, ya sea en atención primaria como en atención especializada, ya que
es lugar de más tránsito de pacientes y usuarios.
Respuesta Correcta: C"
237,¿Las precauciones estándar recomiendan la higiene de manos?,"No, no es una medida incluida en las precauciones estándar.","Si, la higiene de manos forma parte de las precauciones estándar.",Las precauciones estándar solo recomienda la utilización del EPI.,"No, solo es necesario el uso de guantes que sustituye la higiene de manos. Página 58 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: B",B,"Si, la higiene de manos forma parte de las precauciones estándar.","237. ¿Las precauciones estándar recomiendan la higiene de manos?
A) No, no es una medida incluida en las precauciones estándar.
B) Si, la higiene de manos forma parte de las precauciones estándar.
C) Las precauciones estándar solo recomienda la utilización del EPI.
D) No, solo es necesario el uso de guantes que sustituye la higiene de manos.
Página 58 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: B"
238,¿Cuál es la medida más eficaz para prevenir las infecciones relacionadas con la atención sanitaria?,Las precauciones estándar.,Las precauciones basadas en la vía de transmisión o precauciones especificas.,La higiene de manos.,Los aislamientos. Respuesta Correcta: C,C,La higiene de manos.,"238. ¿Cuál es la medida más eficaz para prevenir las infecciones relacionadas con la atención sanitaria?
A) Las precauciones estándar.
B) Las precauciones basadas en la vía de transmisión o precauciones especificas.
C) La higiene de manos.
D) Los aislamientos.
Respuesta Correcta: C"
239,"En qué medida de precaución específica, basada en la vía de transmisión, NO es necesario el uso de mascarilla por parte del paciente cuando se realice un traslado fuera de la habitación",Contacto.,Aéreo.,Gotas.,Todas las respuestas anteriores son correctas. Respuesta Correcta: A,A,Contacto.,"239. En qué medida de precaución específica, basada en la vía de transmisión, NO es necesario el uso de mascarilla
por parte del paciente cuando se realice un traslado fuera de la habitación:
A) Contacto.
B) Aéreo.
C) Gotas.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: A"
240,"Respecto a las precauciones a adoptar en los aislamientos para prevenir la transmisión por gotas de enfermedades infecciosas, señale cuál de ellas se considera correcta",Al paciente siempre se le ubicará en una habitación individual.,El personal sanitario que entre en la habitación siempre usará bata impermeable.,Cuando la atención al paciente se realice igual o a menos de un metro será preciso el uso de mascarilla y gafas protectoras.,Todas las respuestas anteriores son correctas. Respuesta Correcta: C,C,Cuando la atención al paciente se realice igual o a menos de un metro será preciso el uso de mascarilla y gafas protectoras.,"240. Respecto a las precauciones a adoptar en los aislamientos para prevenir la transmisión por gotas de
enfermedades infecciosas, señale cuál de ellas se considera correcta:
A) Al paciente siempre se le ubicará en una habitación individual.
B) El personal sanitario que entre en la habitación siempre usará bata impermeable.
C) Cuando la atención al paciente se realice igual o a menos de un metro será preciso el uso de mascarilla y
gafas protectoras.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: C"
241,¿Quiénes deberán aplicar las precauciones estándar?,Sólo los TCAE.,Sólo los enfermeros.,Sólo los celadores.,Todos los trabajadores sanitarios. Página 59 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: D,D,Todos los trabajadores sanitarios. Página 59 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: D,"241. ¿Quiénes deberán aplicar las precauciones estándar?
A) Sólo los TCAE.
B) Sólo los enfermeros.
C) Sólo los celadores.
D) Todos los trabajadores sanitarios.
Página 59 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: D"
242,"De las siguientes medidas, ¿cuál de ellas incluiría en las precauciones estándar?",Utilización adecuada del equipo de protección individual.,Esterilización y desinfección del material clínico.,Higiene de manos,Todas las respuestas anteriores son correctas Respuesta Correcta: D,D,Todas las respuestas anteriores son correctas Respuesta Correcta: D,"242. De las siguientes medidas, ¿cuál de ellas incluiría en las precauciones estándar?
A) Utilización adecuada del equipo de protección individual.
B) Esterilización y desinfección del material clínico.
C) Higiene de manos
D) Todas las respuestas anteriores son correctas
Respuesta Correcta: D"
243,"En relación a las precauciones a adoptar para prevenir la transmisión por vía aérea de enfermedades infecciosas, señale cuál de ellas es incorrecta",La puerta de la habitación permanecerá cerrada,"Se podrá compartir habitación si los pacientes tienen igual diagnóstico, agente patógeno y genotipo",Habitación individual con presión positiva,El personal sanitario entrará en la habitación con la mascarilla puesta Respuesta Correcta: C,C,Habitación individual con presión positiva,"243. En relación a las precauciones a adoptar para prevenir la transmisión por vía aérea de enfermedades infecciosas,
señale cuál de ellas es incorrecta:
A) La puerta de la habitación permanecerá cerrada
B) Se podrá compartir habitación si los pacientes tienen igual diagnóstico, agente patógeno y genotipo
C) Habitación individual con presión positiva
D) El personal sanitario entrará en la habitación con la mascarilla puesta
Respuesta Correcta: C"
244,El denominado aislamiento protector o inverso se emplea en,Pacientes contagiosos por vía respiratoria,Pacientes con enfermedades digestivas contagiosas,Pacientes que permanecen aislados en su propia casa,Pacientes que tienen disminuidas gravemente sus defensas Respuesta Correcta: D,D,Pacientes que tienen disminuidas gravemente sus defensas Respuesta Correcta: D,"244. El denominado aislamiento protector o inverso se emplea en:
A) Pacientes contagiosos por vía respiratoria
B) Pacientes con enfermedades digestivas contagiosas
C) Pacientes que permanecen aislados en su propia casa
D) Pacientes que tienen disminuidas gravemente sus defensas
Respuesta Correcta: D"
245,"Son seres inanimados, contaminados a partir de la fuente de infección, que transmiten enfermedades",Fómites,Vectores,Artrópodos,Invertebrados Respuesta Correcta: A Página 60 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,A,Fómites,"245. Son seres inanimados, contaminados a partir de la fuente de infección, que transmiten enfermedades:
A) Fómites
B) Vectores
C) Artrópodos
D) Invertebrados
Respuesta Correcta: A
Página 60 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
246,"Al conjunto de las medidas utilizadas para prevenir la diseminación de infecciones a los pacientes, al personal sanitario, a los visitantes y al medio ambiente sanitario se denomina",Técnicas de higiene,Técnicas de limpieza,Técnicas de aislamiento,Técnicas de esterilización Respuesta Correcta: C,C,Técnicas de aislamiento,"246. Al conjunto de las medidas utilizadas para prevenir la diseminación de infecciones a los pacientes, al personal
sanitario, a los visitantes y al medio ambiente sanitario se denomina:
A) Técnicas de higiene
B) Técnicas de limpieza
C) Técnicas de aislamiento
D) Técnicas de esterilización
Respuesta Correcta: C"
247,En el hospital se ha establecido una zona de aislamiento entérico. ¿qué incluye el protocolo para este tipo de aislamiento? Señale la respuesta INCORRECTA,Lavado de manos,Uso de guantes cuando haya contacto directo con el paciente o fómites,Uso de mascarilla,Dentro de la habitación habrá guantes y batas Respuesta Correcta: C,C,Uso de mascarilla,"247. En el hospital se ha establecido una zona de aislamiento entérico. ¿qué incluye el protocolo para este tipo de
aislamiento? Señale la respuesta INCORRECTA:
A) Lavado de manos
B) Uso de guantes cuando haya contacto directo con el paciente o fómites
C) Uso de mascarilla
D) Dentro de la habitación habrá guantes y batas
Respuesta Correcta: C"
248,"La infección que se presenta en un paciente internado en un hospital en quien la infección no se había manifestado ni estaba en período de incubación en el momento del internamiento, se denomina",Infección parasitaria,Infección oportunista,Infección nosocomial,Infección diferida Respuesta Correcta: C,C,Infección nosocomial,"248. La infección que se presenta en un paciente internado en un hospital en quien la infección no se había
manifestado ni estaba en período de incubación en el momento del internamiento, se denomina:
A) Infección parasitaria
B) Infección oportunista
C) Infección nosocomial
D) Infección diferida
Respuesta Correcta: C"
249,¿Cuál es la finalidad del aislamiento protector?,Evitar el contagio tanto por vía directa como indirecta,Aislar a los pacientes susceptibles o inmunodeprimidos,Prevenir el contagio por vía aérea,Proteger frente a infecciones cruzadas Respuesta Correcta: B Página 61 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,B,Aislar a los pacientes susceptibles o inmunodeprimidos,"249. ¿Cuál es la finalidad del aislamiento protector?
A) Evitar el contagio tanto por vía directa como indirecta
B) Aislar a los pacientes susceptibles o inmunodeprimidos
C) Prevenir el contagio por vía aérea
D) Proteger frente a infecciones cruzadas
Respuesta Correcta: B
Página 61 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
250,¿Cómo actúa el suelo en los mecanismos de transmisión de las enfermedades?,Como vector,Como reservorio,Como fuente de infección,Como fómite Respuesta Correcta: B,B,Como reservorio,"250. ¿Cómo actúa el suelo en los mecanismos de transmisión de las enfermedades?
A) Como vector
B) Como reservorio
C) Como fuente de infección
D) Como fómite
Respuesta Correcta: B"
251,¿Qué aislamiento requieren los pacientes quemados en más de un 25% de su superficie corporal?,Aislamiento de contacto,Aislamiento estricto,Aislamiento respiratorio,Aislamiento protector Respuesta Correcta: D,D,Aislamiento protector Respuesta Correcta: D,"251. ¿Qué aislamiento requieren los pacientes quemados en más de un 25% de su superficie corporal?
A) Aislamiento de contacto
B) Aislamiento estricto
C) Aislamiento respiratorio
D) Aislamiento protector
Respuesta Correcta: D"
252,"¿Cómo se llama el lugar donde los microorganismos viven, se desarrollan y se multiplican indefinidamente?",Fuente susceptible,Vector,Reservorio,Infestación Respuesta Correcta: C,C,Reservorio,"252. ¿Cómo se llama el lugar donde los microorganismos viven, se desarrollan y se multiplican indefinidamente?
A) Fuente susceptible
B) Vector
C) Reservorio
D) Infestación
Respuesta Correcta: C"
253,¿Cuál de las siguientes medidas se deben tomar ante un paciente sujeto a un aislamiento por gotas de Flügge?,El uso de la mascarilla no es necesario,El uso de la mascarilla cuando se esté trabajando a menos de 1 metro del paciente,En los traslados el paciente no llevará la mascarilla,La eliminación de los residuos en bolsas o contenedores no identificados Respuesta Correcta: B,B,El uso de la mascarilla cuando se esté trabajando a menos de 1 metro del paciente,"253. ¿Cuál de las siguientes medidas se deben tomar ante un paciente sujeto a un aislamiento por gotas de Flügge?
A) El uso de la mascarilla no es necesario
B) El uso de la mascarilla cuando se esté trabajando a menos de 1 metro del paciente
C) En los traslados el paciente no llevará la mascarilla
D) La eliminación de los residuos en bolsas o contenedores no identificados
Respuesta Correcta: B"
254,"Un paciente que está en una planta de hospitalización con aislamiento de contacto, ¿cuál de las siguientes indicaciones es la más adecuada? Página 62 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",El celador deberá llevar puestos los guantes cuando entre en la habitación del paciente aislado,El celador llevará puesta la mascarilla siempre que vaya a entrar en la habitación del paciente aislado,No es preciso lavarse las manos después de quitarse los guantes usados,El celador no puede entrar en la habitación de un paciente con aislamiento Respuesta Correcta: A,A,El celador deberá llevar puestos los guantes cuando entre en la habitación del paciente aislado,"254. Un paciente que está en una planta de hospitalización con aislamiento de contacto, ¿cuál de las siguientes
indicaciones es la más adecuada?
Página 62 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) El celador deberá llevar puestos los guantes cuando entre en la habitación del paciente aislado
B) El celador llevará puesta la mascarilla siempre que vaya a entrar en la habitación del paciente aislado
C) No es preciso lavarse las manos después de quitarse los guantes usados
D) El celador no puede entrar en la habitación de un paciente con aislamiento
Respuesta Correcta: A"
255,¿Cómo se definen los cuidados administrados al paciente terminal?,Cuidados intensivos.,Cuidados de apoyo.,Cuidados de confort.,Todas las respuestas son correctas. Respuesta Correcta: C,C,Cuidados de confort.,"255. ¿Cómo se definen los cuidados administrados al paciente terminal?
A) Cuidados intensivos.
B) Cuidados de apoyo.
C) Cuidados de confort.
D) Todas las respuestas son correctas.
Respuesta Correcta: C"
256,"Cuando un celador está trasladando a un parapléjico a urgencias y éste empieza a vomitar, el celador",Avisará rápidamente al familiar,"Le girará la cabeza para evitar una aspiración, y avisará al personal sanitario",Llamará al servicio de limpieza,Lo trasladará rápidamente a los aseos para que vomite allí Respuesta Correcta: B,B,"Le girará la cabeza para evitar una aspiración, y avisará al personal sanitario","256. Cuando un celador está trasladando a un parapléjico a urgencias y éste empieza a vomitar, el celador:
A) Avisará rápidamente al familiar
B) Le girará la cabeza para evitar una aspiración, y avisará al personal sanitario
C) Llamará al servicio de limpieza
D) Lo trasladará rápidamente a los aseos para que vomite allí
Respuesta Correcta: B"
257,Cuando se permita la entrada al área sanitaria de urgencias a los familiares de un paciente para una visita puntual el celador deberá,Indicarle brevemente donde está el paciente y continuar con sus tareas,Valorar si están muy nerviosos y pueden ver o no al paciente,Cuidar para que no deambulen por los pasillos más de lo necesario para llegar al lugar concreto donde esté el paciente,Comentar con los familiares el estado de salud del paciente Respuesta Correcta: C,C,Cuidar para que no deambulen por los pasillos más de lo necesario para llegar al lugar concreto donde esté el paciente,"257. Cuando se permita la entrada al área sanitaria de urgencias a los familiares de un paciente para una visita
puntual el celador deberá:
A) Indicarle brevemente donde está el paciente y continuar con sus tareas
B) Valorar si están muy nerviosos y pueden ver o no al paciente
C) Cuidar para que no deambulen por los pasillos más de lo necesario para llegar al lugar concreto donde esté
el paciente
D) Comentar con los familiares el estado de salud del paciente
Respuesta Correcta: C"
258,Cuál de las siguientes es una zona o área asistencial de la unidad de urgencias,Almacén Página 63 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,Sala de espera,Quirófanos de urgencias,Sala de información a pacientes Respuesta Correcta: C,C,Quirófanos de urgencias,"258. Cuál de las siguientes es una zona o área asistencial de la unidad de urgencias:
A) Almacén
Página 63 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
B) Sala de espera
C) Quirófanos de urgencias
D) Sala de información a pacientes
Respuesta Correcta: C"
259,¿Qué es una urgencia?,La asistencia que se presta solamente en caso de catástrofe,Toda actividad que genera la conciencia de atención inminente,No implica una necesidad apremiante,Ninguna de las respuestas anteriores es correcta Respuesta Correcta: B,B,Toda actividad que genera la conciencia de atención inminente,"259. ¿Qué es una urgencia?
A) La asistencia que se presta solamente en caso de catástrofe
B) Toda actividad que genera la conciencia de atención inminente
C) No implica una necesidad apremiante
D) Ninguna de las respuestas anteriores es correcta
Respuesta Correcta: B"
260,"Son funciones del celador destinado en el servicio de urgencias todas, excepto","Vigilarán la entrada, permitiendo el acceso sólo a las personas autorizadas para ello",Avisarán al personal sanitario cuando sea necesario,"Avisarán, vía telefónica, al servicio de ambulancia cuando sea preciso un traslado secundario","Avisarán a los familiares de los pacientes que se encuentren en la sala de espera, cuando se realice el ingreso del enfermo en planta hospitalaria Respuesta Correcta: C",C,"Avisarán, vía telefónica, al servicio de ambulancia cuando sea preciso un traslado secundario","260. Son funciones del celador destinado en el servicio de urgencias todas, excepto:
A) Vigilarán la entrada, permitiendo el acceso sólo a las personas autorizadas para ello
B) Avisarán al personal sanitario cuando sea necesario
C) Avisarán, vía telefónica, al servicio de ambulancia cuando sea preciso un traslado secundario
D) Avisarán a los familiares de los pacientes que se encuentren en la sala de espera, cuando se realice el
ingreso del enfermo en planta hospitalaria
Respuesta Correcta: C"
261,Aquella situación urgente que pone en peligro inmediato la vida del paciente o la función del algún órgano es una,Urgencia,Emergencia,Cadena asistencial urgente,Catástrofe sanitaria Respuesta Correcta: B,B,Emergencia,"261. Aquella situación urgente que pone en peligro inmediato la vida del paciente o la función del algún órgano es una:
A) Urgencia
B) Emergencia
C) Cadena asistencial urgente
D) Catástrofe sanitaria
Respuesta Correcta: B"
262,La persona encargada de la recepción de los pacientes en urgencias hospitalarias es,El administrativo,El celador Página 64 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,El enfermero de triaje,El médico de guardia Respuesta Correcta: B,B,El celador Página 64 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,"262. La persona encargada de la recepción de los pacientes en urgencias hospitalarias es:
A) El administrativo
B) El celador
Página 64 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
C) El enfermero de triaje
D) El médico de guardia
Respuesta Correcta: B"
263,"Entre las ventajas del sistema de triaje, en la identificación y estadiaje de las víctimas de una catástrofe es cierto que",Aumenta la eficacia de la atención al paciente,Proporciona información sobre el estado del paciente y el tiempo aproximado de espera en la atención,Orienta el flujo de pacientes en función de su gravedad,Todas las respuestas anteriores son correctas Respuesta Correcta: D,D,Todas las respuestas anteriores son correctas Respuesta Correcta: D,"263. Entre las ventajas del sistema de triaje, en la identificación y estadiaje de las víctimas de una catástrofe es cierto
que:
A) Aumenta la eficacia de la atención al paciente
B) Proporciona información sobre el estado del paciente y el tiempo aproximado de espera en la atención
C) Orienta el flujo de pacientes en función de su gravedad
D) Todas las respuestas anteriores son correctas
Respuesta Correcta: D"
264,¿Cuál de estas actuaciones del celador de urgencias es la incorrecta?,Recepción de pacientes,Asistencia y apoyo al personal sanitario,Organización de las ambulancias,Vigilancia Respuesta Correcta: C,C,Organización de las ambulancias,"264. ¿Cuál de estas actuaciones del celador de urgencias es la incorrecta?
A) Recepción de pacientes
B) Asistencia y apoyo al personal sanitario
C) Organización de las ambulancias
D) Vigilancia
Respuesta Correcta: C"
265,El celador en el servicio de urgencias,"Recibe a los enfermos que acuden al servicio de urgencias en ambulancias, vehículos particulares y ambulantes","Facilita información general, si así se lo solicitan, a enfermos y familiares acerca de la ubicación de la sala de espera, los aseos o del servicio de admisión de urgencias, pero nunca información sanitaria ni administrativa",Recibe al enfermo y comienza a hacer la anamnesis del paciente,Las respuestas A y B son correctas Respuesta Correcta: D,D,Las respuestas A y B son correctas Respuesta Correcta: D,"265. El celador en el servicio de urgencias:
A) Recibe a los enfermos que acuden al servicio de urgencias en ambulancias, vehículos particulares y
ambulantes
B) Facilita información general, si así se lo solicitan, a enfermos y familiares acerca de la ubicación de la sala
de espera, los aseos o del servicio de admisión de urgencias, pero nunca información sanitaria ni
administrativa
C) Recibe al enfermo y comienza a hacer la anamnesis del paciente
D) Las respuestas A y B son correctas
Respuesta Correcta: D"
266,"En la recepción de pacientes en la entrada de urgencias, ¿cuál de las siguientes actuaciones es incorrecta?","Recibir y ofrecer ayuda a los enfermos que acuden al servicio de urgencias en ambulancias, vehículos particulares y ambulantes Página 65 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",Dar aviso urgente al personal sanitario de la llegada de un paciente al servicio de urgencias cuando su patología evidencie signos externos de requerir una atención inmediata,Exclusivamente se transportará aquel paciente que vaya en silla de ruedas,"Tener localizadas y disponibles sillas de ruedas, camillas y camas hospitalarias para los enfermos, así como las balas de oxígeno, y todos en perfecto estado y listos para su uso Respuesta Correcta: C",C,Exclusivamente se transportará aquel paciente que vaya en silla de ruedas,"266. En la recepción de pacientes en la entrada de urgencias, ¿cuál de las siguientes actuaciones es incorrecta?
A) Recibir y ofrecer ayuda a los enfermos que acuden al servicio de urgencias en ambulancias, vehículos
particulares y ambulantes
Página 65 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
B) Dar aviso urgente al personal sanitario de la llegada de un paciente al servicio de urgencias cuando su
patología evidencie signos externos de requerir una atención inmediata
C) Exclusivamente se transportará aquel paciente que vaya en silla de ruedas
D) Tener localizadas y disponibles sillas de ruedas, camillas y camas hospitalarias para los enfermos, así como
las balas de oxígeno, y todos en perfecto estado y listos para su uso
Respuesta Correcta: C"
267,"De las siguientes funciones de celadores de urgencias, ¿cuál es la respuesta INCORRECTA?","En los periodos de descanso legalmente establecidos y se abandone transitoriamente el servicio, no es necesario que se lo comunique a su compañero","Deberán comunicar al responsable (supervisor/a) las averías en las sillas de ruedas, porta-sueros, camillas, etc.",Deberán dar cuenta a sus inmediatos superiores de los desperfectos o anomalías que encuentren en la limpieza y conservación del edificio y del material,"Los celadores serán responsables del manejo y custodia de las sillas de ruedas, porta-sueros, camillas, etc. Igualmente serán responsables de su localización Respuesta Correcta: A",A,"En los periodos de descanso legalmente establecidos y se abandone transitoriamente el servicio, no es necesario que se lo comunique a su compañero","267. De las siguientes funciones de celadores de urgencias, ¿cuál es la respuesta INCORRECTA?
A) En los periodos de descanso legalmente establecidos y se abandone transitoriamente el servicio, no es
necesario que se lo comunique a su compañero
B) Deberán comunicar al responsable (supervisor/a) las averías en las sillas de ruedas, porta-sueros, camillas,
etc.
C) Deberán dar cuenta a sus inmediatos superiores de los desperfectos o anomalías que encuentren en la
limpieza y conservación del edificio y del material
D) Los celadores serán responsables del manejo y custodia de las sillas de ruedas, porta-sueros, camillas, etc.
Igualmente serán responsables de su localización
Respuesta Correcta: A"
268,"En el servicio de urgencias, ante la llegada de un paciente crítico y una vez estabilizado éste, el celador debe",Acompañar al facultativo en la información al estado del paciente,"Informar a los familiares del estado del paciente, porque así se lo ha ordenado el facultativo ya que éste no puede hacerlo debido a la urgencia de la patología",No debe hacer nada puesto que el paciente ya está estabilizado,Debe permanecer atento en la sala hasta que el personal sanitario lo considere oportuno Respuesta Correcta: D,D,Debe permanecer atento en la sala hasta que el personal sanitario lo considere oportuno Respuesta Correcta: D,"268. En el servicio de urgencias, ante la llegada de un paciente crítico y una vez estabilizado éste, el celador debe:
A) Acompañar al facultativo en la información al estado del paciente
B) Informar a los familiares del estado del paciente, porque así se lo ha ordenado el facultativo ya que éste no
puede hacerlo debido a la urgencia de la patología
C) No debe hacer nada puesto que el paciente ya está estabilizado
D) Debe permanecer atento en la sala hasta que el personal sanitario lo considere oportuno
Respuesta Correcta: D"
269,Es una función del celador de urgencias,Avisar al servicio de ambulancia para traslado de enfermos dados de alta,Contención de un paciente mientras se le practica un lavado gástrico,Obtener la información necesaria de los familiares del paciente para poder abrirle la historia clínica,Realizar la clasificación inicial de pacientes en la zona de triaje Página 66 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: B,B,Contención de un paciente mientras se le practica un lavado gástrico,"269. Es una función del celador de urgencias:
A) Avisar al servicio de ambulancia para traslado de enfermos dados de alta
B) Contención de un paciente mientras se le practica un lavado gástrico
C) Obtener la información necesaria de los familiares del paciente para poder abrirle la historia clínica
D) Realizar la clasificación inicial de pacientes en la zona de triaje
Página 66 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: B"
270,¿Cuál de las siguientes opciones no comprende la asistencia sanitaria prestada por una unidad de urgencias de hospital?,Asistencia en urgencias y alta al domicilio,Permanencia en cama en sala de observación durante un máximo de 24 horas,Internamiento en unidad de hospitalización,Asistencia urgente domiciliaria Respuesta Correcta: D,D,Asistencia urgente domiciliaria Respuesta Correcta: D,"270. ¿Cuál de las siguientes opciones no comprende la asistencia sanitaria prestada por una unidad de urgencias de
hospital?
A) Asistencia en urgencias y alta al domicilio
B) Permanencia en cama en sala de observación durante un máximo de 24 horas
C) Internamiento en unidad de hospitalización
D) Asistencia urgente domiciliaria
Respuesta Correcta: D"
271,¿Cuál de las siguientes no es una función que corresponde realizar al celador de una unidad de urgencias de hospital?,Permitir el acceso sólo a personas autorizadas para ello,Tomar los datos personales y de derecho de asistencia sanitaria al paciente,Cuidar de que los pasillos permanezcan despejados de público,Traslado de fallecidos desde urgencias hasta el tanatorio del hospital Respuesta Correcta: B,B,Tomar los datos personales y de derecho de asistencia sanitaria al paciente,"271. ¿Cuál de las siguientes no es una función que corresponde realizar al celador de una unidad de urgencias de
hospital?
A) Permitir el acceso sólo a personas autorizadas para ello
B) Tomar los datos personales y de derecho de asistencia sanitaria al paciente
C) Cuidar de que los pasillos permanezcan despejados de público
D) Traslado de fallecidos desde urgencias hasta el tanatorio del hospital
Respuesta Correcta: B"
272,"En el contexto de las fases del decálogo prehospitalario, ¿a qué se denomina triaje?",Al conjunto de maniobras de reanimación indispensables que hacen posible la supervivencia de un paciente,A la puesta en marcha del sistema de emergencias,Al conjunto de actuaciones dirigidas a conseguir que las funciones ventilatorias y hemodinámicas estén aseguradas durante el traslado,A la clasificación de los pacientes Respuesta Correcta: D,D,A la clasificación de los pacientes Respuesta Correcta: D,"272. En el contexto de las fases del decálogo prehospitalario, ¿a qué se denomina triaje?
A) Al conjunto de maniobras de reanimación indispensables que hacen posible la supervivencia de un paciente
B) A la puesta en marcha del sistema de emergencias
C) Al conjunto de actuaciones dirigidas a conseguir que las funciones ventilatorias y hemodinámicas estén
aseguradas durante el traslado
D) A la clasificación de los pacientes
Respuesta Correcta: D"
